10-09 10:26:21.340|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\6c3c19a4-ba58-444a-b8b7-f3fa813d57ae.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\041fdc43-b795-400d-bafd-c0b07c7e34fb\ac3bb916-d3ff-48ac-a6b7-8684eea2aef1.jpg
10-09 10:26:21.340|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSamh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1NDIvY29udGVudC9TaGFtYW4gS2luZyBDYXJkIEdhbWUgLSBDaG91IFNlbmppcnlha2tldHN1IDIgKEphcGFuKS56aXAaOVNoYW1hbiBLaW5nIENhcmQgR2FtZSAtIENob3UgU2VuamlyeWFra2V0c3UgMiAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:21.340|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSamh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI0MjUvY29udGVudC9TaGFtYW4gS2luZyBDYXJkIEdhbWUgLSBDaG91IFNlbmppcnlha2tldHN1IDMgKEphcGFuKS56aXAaOVNoYW1hbiBLaW5nIENhcmQgR2FtZSAtIENob3UgU2VuamlyeWFra2V0c3UgMyAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:21.340|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSbWh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTIzMDAvY29udGVudC9TaGFtYW4gS2luZyAtIExlZ2FjeSBvZiB0aGUgU3Bpcml0cyAtIFNvYXJpbmcgSGF3ayAoVVNBKS56aXAaPFNoYW1hbiBLaW5nIC0gTGVnYWN5IG9mIHRoZSBTcGlyaXRzIC0gU29hcmluZyBIYXdrIChVU0EpLnppcA== from RomM plugin
10-09 10:26:21.340|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co5txb.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\95b587f5-33cd-4fa5-a3fc-c34a56ea3128.jpg.
10-09 10:26:21.536|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\95b587f5-33cd-4fa5-a3fc-c34a56ea3128.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\c0b0c044-fa1a-4ed6-9bf8-35b617b36943\aa157048-1684-4ef1-8265-7c2e56e4bfa7.jpg
10-09 10:26:21.540|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSb2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMyOTMvY29udGVudC9TaGFtYW4gS2luZyAtIExlZ2FjeSBvZiB0aGUgU3Bpcml0cyAtIFNwcmludGluZyBXb2xmIChVU0EpLnppcBo+U2hhbWFuIEtpbmcgLSBMZWdhY3kgb2YgdGhlIFNwaXJpdHMgLSBTcHJpbnRpbmcgV29sZiAoVVNBKS56aXA= from RomM plugin
10-09 10:26:21.540|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co5txa.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\67e09f5c-35e4-4083-95d1-733f0b75c144.jpg.
10-09 10:26:21.737|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\67e09f5c-35e4-4083-95d1-733f0b75c144.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\e9033666-c3ff-4092-b361-6b28b5a22ae9\a8b483d6-cb75-4590-b766-e1c83f9c2f47.jpg
10-09 10:26:21.737|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSWmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1NDEvY29udGVudC9TaGFtYW4gS2luZyAtIE1hc3RlciBvZiBTcGlyaXRzIChVU0EpLnppcBopU2hhbWFuIEtpbmcgLSBNYXN0ZXIgb2YgU3Bpcml0cyAoVVNBKS56aXA= from RomM plugin
10-09 10:26:21.737|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co2pq0.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\c6292fd7-55aa-4ebf-842c-37a53294f9ea.jpg.
10-09 10:26:22.079|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\c6292fd7-55aa-4ebf-842c-37a53294f9ea.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\e3084d19-cd97-4f84-8f45-68c27b1ba76f\f10e6a86-b1b6-4750-9d00-072068aec0ea.jpg
10-09 10:26:22.079|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSTWh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI5ODUvY29udGVudC9TaGFuZ2hhaSBBZHZhbmNlIChKYXBhbikuemlwGhxTaGFuZ2hhaSBBZHZhbmNlIChKYXBhbikuemlw from RomM plugin
10-09 10:26:22.079|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSYWh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI5MjQvY29udGVudC9TaGF1biBQYWxtZXIncyBQcm8gU25vd2JvYXJkZXIgKFVTQSwgRXVyb3BlKS56aXAaMFNoYXVuIFBhbG1lcidzIFBybyBTbm93Ym9hcmRlciAoVVNBLCBFdXJvcGUpLnppcA== from RomM plugin
10-09 10:26:22.087|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co6h1r.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\7312563a-00d0-44c7-911a-c8ca374b6207.jpg.
